PL_NAME
2MASS J12073346-3932539 b
HAT-P-32 b
HAT-P-32 b
HAT-P-32 b
HAT-P-32 b
HAT-P-32 b
HAT-P-33 b
HAT-P-4 b
HAT-P-4 b
HAT-P-40 b
HAT-P-41 b
HAT-P-41 b
HAT-P-41 b
HAT-P-41 b
HAT-P-41 b
HAT-P-41 b
HAT-P-41 b
HAT-P-41 b
HAT-P-51 b
HAT-P-55 b
HAT-P-57 b
HAT-P-6 b
HAT-P-65 b
HAT-P-7 b
HAT-P-7 b
HAT-P-7 b
HAT-P-7 b
HAT-P-7 b
HAT-P-7 b
HAT-P-7 b
HAT-P-70 b
HAT-P-8 b
HATS-2 b
HATS-2 b
HD 106315 c
HD 149026 b
HD 149026 b
HD 149026 b
HD 189733 b
HD 189733 b
HD 189733 b
HD 189733 b
HD 189733 b
HD 189733 b
HD 189733 b
HD 189733 b
HD 189733 b
HD 189733 b
HD 189733 b
HD 189733 b
HD 189733 b
HD 189733 b
HD 189733 b
HD 189733 b
HD 189733 b
HD 189733 b
HD 189733 b
HD 189733 b
HD 189733 b
HD 189733 b
HD 189733 b
HD 189733 b
HD 189733 b
HD 189733 b
HD 189733 b
HD 189733 b
HD 189733 b
HD 189733 b
HD 189733 b
HD 189733 b
HD 189733 b
HD 189733 b
HD 189733 b
HD 189733 b
HD 189733 b
HD 189733 b
HD 189733 b
HD 189733 b
HD 202772 A b
HD 209458 b
HD 209458 b
HD 209458 b
HD 209458 b
HD 209458 b
HD 209458 b
HD 209458 b
HD 209458 b
HD 209458 b
HD 209458 b
HD 209458 b
HD 209458 b
HD 209458 b
HD 209458 b
HD 209458 b
HD 209458 b
HD 209458 b
HD 209458 b
HD 209458 b
HD 209458 b
HD 219666 b
HD 3167 c
HD 95086 b
HD 97658 b
HD 97658 b
HIP 41378 b
HIP 41378 f
HIP 65426 b
HIP 65426 b
HIP 67522 b
HIP 67522 b
HIP 67522 b
HR 2562 b
HR 8799 b
HR 8799 b
HR 8799 c
HR 8799 c
HR 8799 c
HR 8799 c
HR 8799 c
HR 8799 c
HR 8799 d
HR 8799 d
HR 8799 d
HR 8799 d
HR 8799 d
HR 8799 d
HR 8799 e
HR 8799 e
HR 8799 e
HR 8799 e
HR 8799 e
HR 8799 e
K2-18 b
K2-18 b
K2-18 b
K2-18 b
K2-18 b
K2-18 b
K2-18 b
K2-18 b
K2-24 b
K2-26 b
K2-26 b
K2-3 b
K2-3 b
K2-3 c
K2-3 c
K2-3 d
K2-3 d
KELT-1 b
KELT-1 b
KELT-1 b
KELT-1 b
KELT-1 b
KELT-1 b
KELT-1 b
KELT-1 b
KELT-11 b
KELT-11 b
KELT-11 b
KELT-2 A b
KELT-2 A b
KELT-20 b
KELT-20 b
KELT-20 b
KELT-3 b
KELT-7 b
KELT-7 b
KELT-7 b
KELT-7 b
KELT-7 b
KELT-7 b
KELT-7 b
KELT-7 b
KELT-7 b
KELT-9 b
KELT-9 b
KELT-9 b
KELT-9 b
KELT-9 b
KELT-9 b
KELT-9 b
KELT-9 b
KELT-9 b
KELT-9 b
KELT-9 b
KOI-12 b
KOI-12 b
KOI-13 b
KOI-13 b
KOI-13 b
KOI-13 b
KOI-13 b
KOI-13 b
KOI-94 d
KOI-94 d
Kepler-10 c
Kepler-10 c
Kepler-102 d
Kepler-102 d
Kepler-102 e
Kepler-102 e
Kepler-104 d
Kepler-104 d
Kepler-11 e
Kepler-11 e
Kepler-125 b
Kepler-125 b
Kepler-126 d
Kepler-126 d
Kepler-127 d
Kepler-127 d
Kepler-138 c
Kepler-138 c
Kepler-138 d
Kepler-14 b
Kepler-14 b
Kepler-158 c
Kepler-158 c
Kepler-18 c
Kepler-18 c
Kepler-18 d
Kepler-18 d
Kepler-19 b
Kepler-19 b
Kepler-20 c
Kepler-20 c
Kepler-20 d
Kepler-20 d
Kepler-205 c
Kepler-205 c
Kepler-22 b
Kepler-22 b
Kepler-236 c
Kepler-236 c
Kepler-249 d
Kepler-249 d
Kepler-25 b
Kepler-25 b
Kepler-25 c
Kepler-25 c
Kepler-26 c
Kepler-26 c
Kepler-32 d
Kepler-32 d
Kepler-37 d
Kepler-37 d
Kepler-410 A b
Kepler-410 A b
Kepler-49 b
Kepler-49 b
Kepler-49 c
Kepler-49 c
Kepler-5 b
Kepler-51 d
Kepler-6 b
Kepler-61 b
Kepler-61 b
Kepler-62 e
Kepler-62 e
Kepler-68 b
Kepler-68 b
Kepler-9 b
Kepler-9 c
Kepler-93 b
Kepler-93 b
Kepler-94 b
Kepler-94 b
L 168-9 b
L 168-9 b
L 168-9 b
L 168-9 b
L 168-9 b
L 168-9 b
L 168-9 b
L 168-9 b
L 98-59 b
L 98-59 b
L 98-59 b
L 98-59 b
L 98-59 b
L 98-59 b
L 98-59 b
L 98-59 b
L 98-59 c
L 98-59 c
L 98-59 c
L 98-59 c
L 98-59 c
L 98-59 d
LHS 1140 b
LHS 1140 b
LHS 1140 b
LHS 1140 c
LHS 475 b
LHS 475 b
LHS 475 b
LHS 475 b
LTT 1445 A b
LTT 9779 b
LTT 9779 b
LTT 9779 b
PDS 70 b
PDS 70 c
Qatar-1 b
Qatar-1 b
Qatar-1 b
Qatar-1 b
Qatar-1 b
TOI-1268 b
TOI-1268 b
TOI-270 c
TOI-270 d
TOI-270 d
TOI-431 b
TOI-4438 b
TOI-4438 b
TOI-4860 b
TOI-4860 b
TOI-674 b
TOI-776 b
TOI-776 b
TOI-776 b
TOI-776 b
TOI-776 c
TOI-776 c
TOI-776 c
TOI-776 c
TOI-776 c
TOI-776 c
TOI-836 b
TOI-836 b
TOI-836 b
TOI-836 b
TOI-836 b
TOI-836 c
TOI-836 c
TOI-836 c
TRAPPIST-1 b
TRAPPIST-1 b
TRAPPIST-1 c
TRAPPIST-1 g
TRAPPIST-1 h
TrES-1 b
TrES-1 b
TrES-2 b
TrES-2 b
TrES-2 b
TrES-2 b
TrES-2 b
TrES-3 b
TrES-3 b
TrES-3 b
TrES-3 b
TrES-3 b
TrES-3 b
TrES-3 b
TrES-3 b
TrES-4 b
TrES-4 b
TrES-4 b
TrES-4 b
V1298 Tau b
V1298 Tau b
V1298 Tau c
V1298 Tau c
VHS J125601.92-125723.9 b
VHS J125601.92-125723.9 b
VHS J125601.92-125723.9 b
VHS J125601.92-125723.9 b
WASP-10 b
WASP-10 b
WASP-10 b
WASP-100 b
WASP-101 b
WASP-101 b
WASP-101 b
WASP-103 b
WASP-103 b
WASP-103 b
WASP-103 b
WASP-103 b
WASP-103 b
WASP-103 b
WASP-103 b
WASP-103 b
WASP-103 b
WASP-104 b
WASP-107 b
WASP-107 b
WASP-107 b
WASP-107 b
WASP-107 b
WASP-107 b
WASP-107 b
WASP-107 b
WASP-107 b
WASP-107 b
WASP-107 b
WASP-107 b
WASP-107 b
WASP-107 b
WASP-107 b
WASP-107 b
WASP-107 b
WASP-117 b
WASP-117 b
WASP-117 b
WASP-12 b
WASP-12 b
WASP-12 b
WASP-12 b
WASP-12 b
WASP-12 b
WASP-12 b
WASP-12 b
WASP-12 b
WASP-12 b
WASP-12 b
WASP-12 b
WASP-12 b
WASP-12 b
WASP-12 b
WASP-12 b
WASP-12 b
WASP-12 b
WASP-12 b
WASP-121 b
WASP-121 b
WASP-121 b
WASP-121 b
WASP-121 b
WASP-121 b
WASP-121 b
WASP-121 b
WASP-121 b
WASP-121 b
WASP-121 b
WASP-121 b
WASP-124 b
WASP-127 b
WASP-127 b
WASP-127 b
WASP-127 b
WASP-131 b
WASP-14 b
WASP-14 b
WASP-14 b
WASP-156 b
WASP-17 b
WASP-17 b
WASP-17 b
WASP-17 b
WASP-17 b
WASP-17 b
WASP-17 b
WASP-17 b
WASP-17 b
WASP-17 b
WASP-17 b
WASP-17 b
WASP-17 b
WASP-17 b
WASP-17 b
WASP-17 b
WASP-17 b
WASP-17 b
WASP-17 b
WASP-17 b
WASP-17 b
WASP-17 b
WASP-17 b
WASP-178 b
WASP-178 b
WASP-18 b
WASP-18 b
WASP-18 b
WASP-18 b
WASP-18 b
WASP-18 b
WASP-18 b
WASP-18 b
WASP-18 b
WASP-18 b
WASP-18 b
WASP-18 b
WASP-18 b
WASP-18 b
WASP-18 b
WASP-18 b
WASP-189 b
WASP-19 b
WASP-19 b
WASP-19 b
WASP-19 b
WASP-19 b
WASP-19 b
WASP-19 b
WASP-19 b
WASP-19 b
WASP-19 b
WASP-19 b
WASP-19 b
WASP-19 b
WASP-19 b
WASP-19 b
WASP-19 b
WASP-19 b
WASP-19 b
WASP-19 b
WASP-19 b
WASP-19 b
WASP-19 b
WASP-19 b
WASP-19 b
WASP-19 b
WASP-19 b
WASP-19 b
WASP-2 b
WASP-21 b
WASP-21 b
WASP-24 b
WASP-25 b
WASP-26 b
WASP-29 b
WASP-29 b
WASP-29 b
WASP-29 b
WASP-29 b
WASP-29 b
WASP-3 b
WASP-3 b
WASP-3 b
WASP-3 b
WASP-31 b
WASP-31 b
WASP-31 b
WASP-31 b
WASP-32 b
WASP-33 b
WASP-33 b
WASP-33 b
WASP-33 b
WASP-33 b
WASP-33 b
WASP-33 b
WASP-33 b
WASP-36 b
WASP-36 b
WASP-36 b
WASP-39 b
WASP-39 b
WASP-39 b
WASP-39 b
WASP-39 b
WASP-39 b
WASP-39 b
WASP-39 b
WASP-39 b
WASP-39 b
WASP-39 b
WASP-39 b
WASP-39 b
WASP-39 b
WASP-39 b
WASP-39 b
WASP-39 b
WASP-39 b
WASP-39 b
WASP-39 b
WASP-39 b
WASP-39 b
WASP-39 b
WASP-39 b
WASP-39 b
WASP-39 b
WASP-39 b
WASP-39 b
WASP-4 b
WASP-4 b
WASP-4 b
WASP-4 b
WASP-4 b
WASP-4 b
WASP-4 b
WASP-4 b
WASP-43 b
WASP-43 b
WASP-43 b
WASP-43 b
WASP-43 b
WASP-43 b
WASP-43 b
WASP-43 b
WASP-43 b
WASP-43 b
WASP-43 b
WASP-43 b
WASP-43 b
WASP-43 b
WASP-43 b
WASP-43 b
WASP-43 b
WASP-43 b
WASP-43 b
WASP-43 b
WASP-43 b
WASP-43 b
WASP-43 b
WASP-43 b
WASP-43 b
WASP-43 b
WASP-45 b
WASP-45 b
WASP-45 b
WASP-46 b
WASP-46 b
WASP-46 b
WASP-46 b
WASP-46 b
WASP-46 b
WASP-48 b
WASP-48 b
WASP-48 b
WASP-49 b
WASP-5 b
WASP-5 b
WASP-5 b
WASP-52 b
WASP-52 b
WASP-52 b
WASP-57 b
WASP-57 b
WASP-57 b
WASP-57 b
WASP-6 b
WASP-6 b
WASP-6 b
WASP-6 b
WASP-62 b
