0.4 um,0.998398
0.402 um,0.998563
0.40401 um,0.998615
0.40603005 um,0.998646
0.4080602003 um,0.998674
0.4101005013 um,0.998691
0.4121510038 um,0.998716
0.4142117588 um,0.998725
0.4162828176 um,0.998655
0.4183642317 um,0.998712
0.4204560528 um,0.998804
0.4225583331 um,0.998844
0.4246711247 um,0.998854
0.4267944804 um,0.998846
0.4289284528 um,0.998883
0.431073095 um,0.998929
0.4332284605 um,0.998955
0.4353946028 um,0.998975
0.4375715758 um,0.998987
0.4397594337 um,0.998935
0.4419582309 um,0.998159
0.444168022 um,0.997987
0.4463888621 um,0.998661
0.4486208064 um,0.999056
0.4508639105 um,0.999104
0.45311823 um,0.999064
0.4553838212 um,0.999083
0.4576607403 um,0.999141
0.459949044 um,0.999169
0.4622487892 um,0.999192
0.4645600332 um,0.999202
0.4668828333 um,0.999095
0.4692172475 um,0.998828
0.4715633337 um,0.998936
0.4739211504 um,0.999109
0.4762907561 um,0.99926
0.4786722099 um,0.999288
0.481065571 um,0.999295
0.4834708988 um,0.999221
0.4858882533 um,0.998918
0.4883176946 um,0.998972
0.4907592831 um,0.999196
0.4932130795 um,0.999342
0.4956791449 um,0.99938
0.4981575406 um,0.999368
0.5006483283 um,0.998916
0.5031515699 um,0.995046
0.5056673278 um,0.995141
0.5081956644 um,0.997006
0.5107366428 um,0.999083
0.513290326 um,0.999428
0.5158567776 um,0.999459
0.5184360615 um,0.999472
0.5210282418 um,0.99948
0.523633383 um,0.999216
0.5262515499 um,0.999192
0.5288828077 um,0.999315
0.5315272217 um,0.999403
0.5341848578 um,0.999474
0.5368557821 um,0.999423
0.539540061 um,0.998639
0.5422377613 um,0.997018
0.5449489501 um,0.997014
0.5476736949 um,0.998783
0.5504120634 um,0.999299
0.5531641237 um,0.999573
0.5559299443 um,0.999588
0.558709594 um,0.999562
0.561503142 um,0.999505
0.5643106577 um,0.999513
0.567132211 um,0.998625
0.569967872 um,0.996168
0.5728177114 um,0.996395
0.5756818 um,0.997903
0.578560209 um,0.998967
0.58145301 um,0.999328
0.584360275 um,0.9989
0.5872820764 um,0.990971
0.5902184868 um,0.978176
0.5931695792 um,0.979931
0.5961354271 um,0.988491
0.5991161043 um,0.99668
0.6021116848 um,0.999351
0.6051222432 um,0.999637
0.6081478544 um,0.999679
0.6111885937 um,0.999672
0.6142445367 um,0.999503
0.6173157594 um,0.999225
0.6204023382 um,0.999157
0.6235043498 um,0.999481
0.6266218716 um,0.998108
0.629754981 um,0.996477
0.6329037559 um,0.996972
0.6360682746 um,0.99833
0.639248616 um,0.998984
0.6424448591 um,0.998623
0.6456570834 um,0.993351
0.6488853688 um,0.98473
0.6521297956 um,0.990525
0.6553904446 um,0.99125
0.6586673968 um,0.996779
0.6619607338 um,0.999056
0.6652705375 um,0.999189
0.6685968902 um,0.999604
0.6719398746 um,0.99973
0.675299574 um,0.999779
0.6786760719 um,0.999725
0.6820694522 um,0.99934
0.6854797995 um,0.998737
0.6889071985 um,0.998662
0.6923517345 um,0.98786
0.6958134932 um,0.983157
0.6992925606 um,0.980558
0.7027890234 um,0.983887
0.7063029686 um,0.989193
0.7098344834 um,0.99365
0.7133836558 um,0.99242
0.7169505741 um,0.965785
0.720535327 um,0.962702
0.7241380036 um,0.961202
0.7277586936 um,0.955601
0.7313974871 um,0.966701
0.7350544745 um,0.984271
0.7387297469 um,0.992154
0.7424233956 um,0.998554
0.7461355126 um,0.999534
0.7498661902 um,0.999622
0.7536155211 um,0.999716
0.7573835987 um,0.999735
0.7611705167 um,0.999744
0.7649763693 um,0.999733
0.7688012511 um,0.999745
0.7726452574 um,0.99967
0.7765084837 um,0.99955
0.7803910261 um,0.999141
0.7842929812 um,0.998372
0.7882144461 um,0.988951
0.7921555184 um,0.988858
0.796116296 um,0.985219
0.8000968774 um,0.981263
0.8040973618 um,0.988282
0.8081178486 um,0.990237
0.8121584379 um,0.976257
0.8162192301 um,0.959298
0.8203003262 um,0.976132
0.8244018279 um,0.975567
0.828523837 um,0.974037
0.8326664562 um,0.98283
0.8368297885 um,0.989827
0.8410139374 um,0.990627
0.8452190071 um,0.995166
0.8494451021 um,0.995153
0.8536923276 um,0.996888
0.8579607893 um,0.998931
0.8622505932 um,0.999774
0.8665618462 um,0.999878
0.8708946554 um,0.9982
0.8752491287 um,0.998535
0.8796253743 um,0.992504
0.8840235012 um,0.973037
0.8884436187 um,0.974733
0.8928858368 um,0.976798
0.897350266 um,0.954529
0.9018370173 um,0.964123
0.9063462024 um,0.967309
0.9108779334 um,0.956198
0.9154323231 um,0.95294
0.9200094847 um,0.969208
0.9246095321 um,0.969478
0.9292325798 um,0.940636
0.9338787427 um,0.890982
0.9385481364 um,0.90862
0.9432408771 um,0.930833
0.9479570815 um,0.91615
0.9526968669 um,0.928504
0.9574603512 um,0.932043
0.962247653 um,0.942653
0.9670588912 um,0.957749
0.9718941857 um,0.97021
0.9767536566 um,0.967949
0.9816374249 um,0.979524
0.986545612 um,0.987876
0.9914783401 um,0.990088
0.9964357318 um,0.991984
1.00141791 um,0.989536
1.006425 um,0.989981
1.011457125 um,0.990333
1.016514411 um,0.992489
1.021596983 um,0.9929
1.026704968 um,0.996413
1.031838492 um,0.998676
1.036997685 um,0.999097
1.042182673 um,0.999676
1.047393587 um,0.99969
1.052630555 um,0.999573
1.057893707 um,0.999864
1.063183176 um,0.999565
1.068499092 um,0.999001
1.073841587 um,0.997478
1.079210795 um,0.994052
1.084606849 um,0.988771
1.090029883 um,0.989303
1.095480033 um,0.978538
1.100957433 um,0.9664
1.10646222 um,0.965236
1.111994531 um,0.94614
